ID,frequency,temperature,population,sex,year
Im40,362.0689655,27.5,I,Male,2015
Im42,361.7719442,27.1,I,Male,2015
Im48,341.5956623,27.6,I,Male,2015
Im49,341.8604651,27.2,I,Male,2015
Im51,333.3333333,27.6,I,Male,2015
Im52,313.8790036,23.3,I,Male,2015
Im54,307.5313808,23,I,Male,2015
Im55,291.4738929,22.3,I,Male,2015
Im58,352.5179856,30.6,I,Male,2015
Im60,380.5004314,32.7,I,Male,2015
Im62,336.6412214,26.2,I,Male,2015
Im69,324.0264511,25,I,Male,2015
Im73,315.6764495,25.1,I,Male,2015
Im75,317.2661871,25.3,I,Male,2015
Im77,338.9700231,27,I,Male,2015
Im78,328.125,27.1,I,Male,2015
Im80,339.7534669,27.1,I,Male,2015
Im81,329.1044776,27.1,I,Male,2015
Im82,322.84041,27.4,I,Male,2015
Im84,402.0054695,30.7,I,Male,2015
Im85,341.3312693,30.3,I,Male,2015
Im88,353.648757,30.3,I,Male,2015
Im90,373.7288136,29.8,I,Male,2015
Im63,291.2813738,21.5,I,Male,2015
Im64,432.7772326,31.8,I,Male,2015
Im66,357.0850202,36.3,I,Male,2015
Im103,379.5180723,31.9,I,Male,2015
Im105,326.9088213,30.8,I,Male,2015
Im107,357.9545455,32.6,I,Male,2015
Im112,371.5248526,33.2,I,Male,2015
Im113,303.301238,22.3,I,Male,2015
Im127,358.5365854,36.1,I,Male,2015
Im129,317.2661871,27,I,Male,2015
Im131,334.0909091,26.1,I,Male,2015
Im134,332.8301887,26.6,I,Male,2015
Im140,266.1436331,20.5,I,Male,2015
Im141,275.625,21,I,Male,2015
Im142,279.1139241,21.2,I,Male,2015
Im143,254.9132948,18,I,Male,2015
Im144,259.4117647,19.2,I,Male,2015
Im145,276.6624843,19.4,I,Male,2015
Im146,260.9467456,19.9,I,Male,2015
Im147,258.6510264,21.2,I,Male,2015
Im148,291.8596956,21.3,I,Male,2015
Im151,278.9373814,21.6,I,Male,2015
Im153,284.8837209,21.7,I,Male,2015
Im158,341.5956623,33.9,I,Male,2015
Im162,358.5365854,29.6,I,Male,2015
Im166,359.1205212,29.8,I,Male,2015
Im169,369.0376569,30,I,Male,2015
Im176,348.6166008,29.9,I,Male,2015
Im179,359.7063622,32.1,I,Male,2015
Im181,352.2364217,32.5,I,Male,2015
Im184,352.8,33.2,I,Male,2015
Im187,347.7917981,29.4,I,Male,2015
Im190,356.2197092,29,I,Male,2015
Im197,299.1858887,25.1,I,Male,2015
Im198,303.0927835,24.3,I,Male,2015
Im200,309.6910112,23.4,I,Male,2015
Im201,340.5405405,23,I,Male,2015
Im204,310.1265823,24.2,I,Male,2015
Im205,298.9830508,24.1,I,Male,2015
Im207,316.3558106,24,I,Male,2015
Im208,300,23.9,I,Male,2015
Im211,298.5781991,23.9,I,Male,2015
Im215,379.5180723,24.3,I,Male,2015
Im218,315.6764495,24.1,I,Male,2015
Im223,323.5509905,24.6,I,Male,2015
Im227,334.8519362,28.6,I,Male,2015
Im229,301.2295082,26.9,I,Male,2015
Im230,326.183432,27.1,I,Male,2015
Im237,335.6164384,27.6,I,Male,2015
Im238,332.3285607,27.3,I,Male,2015
Im241,345.6112853,27.5,I,Male,2015
Im250,312.7659574,24.6,I,Male,2015
Im255,329.5964126,24.3,I,Male,2015
Im256,301.2295082,24.6,I,Male,2015
Im260,352.2364217,29.5,I,Male,2015
Im261,338.4497314,29.9,I,Male,2015
Im262,329.8429319,29.8,I,Male,2015
Im263,350.2779984,30.2,I,Male,2015
Im264,251.1389522,19.5,I,Male,2015
F11,301.886,26.7,I,Female,2015
F14,348.0425,26.5,I,Female,2015
F26,253.097,18.6,I,Female,2015
F29,320.759,24.3,I,Female,2015
F3,302.993,23.9,I,Female,2015
F30,308.771,24.5,I,Female,2015
F35,325.781,24.3,I,Female,2015
F4,347.381,27.1,I,Female,2015
F41,294.2585,21.2,I,Female,2015
F42,274.3325,21.1,I,Female,2015
F43,292.5035,24.1,I,Female,2015
F46,284.8085,23.8,I,Female,2015
F50,363.77,24.7,I,Female,2015
F5,358.964,26.4,I,Female,2015
F51,337.661,24.6,I,Female,2015
F52,268.9595,24.6,I,Female,2015
F53,369.8315,27,I,Female,2015
F54,284.2685,27.2,I,Female,2015
F6,350.2025,27,I,Female,2015
F62,306.071,21.5,I,Female,2015
F64,356.453,24.6,I,Female,2015
F65,255.6215,24.6,I,Female,2015
F66,311.1605,24.2,I,Female,2015
F68,383.021,24.3,I,Female,2015
F69,269.783,24.2,I,Female,2015
F70,354.9545,27.7,I,Female,2015
F9,368.441,27,I,Female,2015
