,compound1,compound2,compound3,compound4,compound5,compound6,compound7,compound8,compound9,compound10,compound11,compound12,compound13,compound14,compound15,compound16,compound17,compound18,compound19,compound20,compound21,compound22,compound23,compound24,compound25,compound26,compound27,compound28,compound29,compound30
A19,0.035294299775455965,0.0,0.0,0.017873355784212844,0.02697125511568471,0.0009320974125525678,0.004595779451199292,0.0,0.009182706319648157,0.02670769802867861,0.021046467943185626,0.0018093255934271198,0.1406050639586984,0.012876415535344556,0.0016177710936930928,0.015227650966709574,0.02507721409035833,0.014637781605240084,0.0,0.060779024609816816,0.0,0.10019382326646549,0.007125667288911554,0.02134280187765116,0.2069457775529346,0.007445099751146094,0.005463816982146076,0.018879861474910282,0.07358901096437313,0.012597769821479919
A20,0.04456343580356665,0.02999306638790599,0.0,0.01513643409796032,0.22896784371114434,0.0,0.0,0.0,0.0,0.06608261305202211,0.026023386193786982,0.0,0.0984903237494242,0.0,0.0,0.019435915356211274,0.0,0.0,0.0,0.05138062330294198,0.0,0.04971585153339949,0.0,0.0,0.17767827464742447,0.0,0.009122339761994454,0.02188336316317078,0.04933920785781091,0.013902499194445868
A21,0.07461132224079023,0.052289722014916676,0.0,0.017146530715658533,0.05962619885116025,0.0,0.0,0.03236908296183028,0.012727890120416658,0.06467538903763471,0.0630410417797387,0.0,0.09751777315861147,0.0,0.0,0.026552489356156225,0.0,0.0,0.0,0.056642395315817384,0.0,0.0652609545388512,0.0,0.0,0.152097430422772,0.0,0.0,0.015736243795976004,0.042134122553860426,0.036678363834879095
A22,0.08104370089313179,0.0,0.013303635147850322,0.019315143900853787,0.0388323570979893,0.001285700622793972,0.004728251043850236,0.0,0.008693609153616905,0.028456375758900407,0.0,0.0,0.11350092592898416,0.031061025086802672,0.0,0.0,0.005754541995241755,0.013489471954498206,0.0,0.057352683370305454,0.005652743264269739,0.0949674648451911,0.0,0.016748638101955603,0.23434492401217594,0.0008952404814470145,0.004139761347882735,0.015729276118160277,0.07649619759834934,0.009005425405536525
A23,0.04470368652658967,0.028087596205116756,0.0,0.011599261680092825,0.1067818573361745,0.007800895352684381,0.0,0.0,0.009514411955851362,0.06493765415382888,0.03443198495964739,0.007738737856462618,0.10294439469520657,0.021783600519811902,0.0,0.019392835161962028,0.0,0.0,0.028389298175658814,0.03626126382159849,0.0,0.06942166762306215,0.0,0.013744019299279228,0.19405295165700165,0.004768898604840173,0.007435259022859617,0.016976573927204468,0.046006628240682204,0.007137743002954199
A24,0.15964254234315986,0.012668077834445879,0.0,0.01085354546105024,0.17019880919712033,0.00792642484102315,0.004986114457346385,0.0,0.007950037467574245,0.06285198396243892,0.013490291041775923,0.005611017933544429,0.06435370271215807,0.008529454256326638,0.018672190817848402,0.009299229175752703,0.011126571408530557,0.0,0.005433448279877959,0.02979777646389678,0.0037625588107676722,0.05325479511105248,0.0,0.006706458678070149,0.1539730855635397,0.0029546732827628566,0.007496984727220677,0.007413502383537684,0.0438184700727186,0.00944944542945477
A25,0.04078663954026328,0.02423234243636032,0.03555481927628421,0.01365920609123905,0.06641177039842497,0.0020375705469024533,0.005436944778253129,0.03759935896980148,0.004118091693685008,0.1751380763391519,0.014568208979171705,0.005616129448375097,0.04015465047082095,0.0,0.010799796565443552,0.015185844997154013,0.0061766494827357995,0.0,0.010276775198176238,0.04802780976884879,0.011838261059736017,0.038356213668814476,0.0,0.01171225466942619,0.15518320936707178,0.0,0.0075297426441749745,0.02390257053872853,0.04634458822771512,0.010717972823108556
A26,0.08757349456191385,0.025477593670523324,0.04298037448889654,0.007394385602663649,0.04932570618587324,0.0014970787019622125,0.0019965413305460034,0.037890531261020585,0.005009714880282535,0.00882185331416299,0.0,0.0008341372463636921,0.05705736146440865,0.008716855777763795,0.001505362972943726,0.012790656523925881,0.001540901697441959,0.007660246013210531,0.001284198491475429,0.04129890069455588,0.006158328495541452,0.09497685998284552,0.0,0.0,0.2406783648282609,0.0016619801353720642,0.007188412822104257,0.011412126116240828,0.07014385188558697,0.013265264899061276
A27,0.08024052825315497,0.02050652284961071,0.04755762268476693,0.007326920936924277,0.04947140230351581,0.0014293175800293885,0.001811495751966887,0.048999394270966126,0.0047866241499732115,0.00637010303538413,0.0,0.0021184581082489694,0.07516776282645844,0.010529158929976998,0.0032886476417196804,0.010430576071514422,0.009578512581587022,0.0,0.0010186528907943527,0.023897517553963958,0.011198955322427753,0.06739223178019078,0.0023056660471154106,0.0052834631835463955,0.27780760588521325,0.0015912465961123474,0.005497237292277562,0.012089742623131993,0.07449008336310708,0.004529275567353263
A28,0.0,0.05068188069921482,0.056993132643432746,0.016214356212196093,0.01069380103702554,0.0034481491202848495,0.0053866260206277584,0.0,0.007969573474886504,0.01191879149529432,0.0693995675275557,0.0059174862121073365,0.02152744577929147,0.0,0.0,0.014692139168999165,0.0,0.0,0.00307866735830898,0.05415013044256524,0.012028986325701657,0.08701537287785771,0.0,0.014102433120656972,0.19185043628197465,0.0,0.00914180210438018,0.020855755230123375,0.08074756092607857,0.02086505727768148
