lat,lon,res.time,secchi,tn,tp,state,SurLand
43.866424,-94.02363,1.507689214,1.318484848,2216.666667,106.125,Minnesota,agricultural
43.725926,-85.905386,1.404182278,4.4975,307.51,14.225,Michigan,forest
44.993296,-93.338078,66.13438715,1.421826923,700.45,72.75,Minnesota,other
45.053199,-94.053386,1.17064206,0.554,2727.5,425.25,Minnesota,other
39.931884,-74.749023,1176.594742,1.7,592,20,New Jersey,other
46.581655,-95.788869,0.594257847,5.057857143,890,23,Minnesota,other
39.374944,-74.943321,536.5492513,0.8,1513,45,New Jersey,forest
46.059555,-88.707909,4.749520661,2.9,403,16,Michigan,forest
46.275774,-95.581622,3.462218606,3.807586207,750,25.33333333,Minnesota,other
45.70049,-89.610824,2.739730107,2.951590435,758,16.64083333,Wisconsin,forest
41.012281,-86.144257,524.2971652,0.566666667,2287,315,Indiana,agricultural
44.081586,-86.175596,3.087957618,4.344830769,525,19,Michigan,forest
46.354857,-88.721283,1.697783376,4.1,437,9,Michigan,forest
46.011516,-93.186092,1.198595664,2.1,900,32,Minnesota,other
44.807264,-89.698337,70.21745385,0.6096,974,85,Wisconsin,other
41.435626,-85.320253,23.98826875,1.6,2608,26.25,Indiana,other
47.459718,-94.884298,132.963446,1.180526316,1000,62,Minnesota,forest
44.941935,-93.256915,19.02053199,0.968352941,1371.164286,140,Minnesota,other
44.666613,-93.284628,8.743765137,2.0934,1260,67.5,Minnesota,other
45.57316,-93.404858,1.88311681,4.266923077,855,37,Minnesota,other
46.964141,-94.164586,11.64855196,3.1,450,45,Minnesota,other
46.693727,-95.779428,5.538513391,6.231875,500,25,Minnesota,forest
45.170654,-94.012932,1.031145091,1.21,1140,47,Minnesota,other
41.395613,-85.560823,15.7151855,1.7,1543.25,42.25,Indiana,agricultural
47.494418,-92.595581,33.6413869,0.787333333,1270,193.8333333,Minnesota,other
46.197977,-88.056814,6.162243331,3,562,15,Michigan,forest
44.868606,-93.492675,8.23258271,1.715,745,63.66666667,Minnesota,other
44.184965,-92.477008,143.5141282,0.780559091,5559.473684,314.4193548,Minnesota,agricultural
42.423146,-85.927898,2.19276162,4.189619048,486,19,Michigan,other
39.336044,-75.200425,177.7810635,1,394,75.09,New Jersey,other
46.239885,-95.841677,17.28411824,2.3,940,23,Minnesota,agricultural
44.570234,-83.700068,9.524877272,5.66912,461,6,Michigan,forest
41.722991,-85.138491,25.92180216,1.1,1450,80.5,Indiana,agricultural
46.557129,-87.53199,18.21208327,2.6,468,15,Michigan,forest
41.07636,-86.462757,3.363199764,0.6375,1362,66,Indiana,agricultural
45.469567,-94.073468,18.05095544,2.428666667,1112.5,64,Minnesota,agricultural
42.80765,-83.526256,2.011434673,3.2,1275,8,Michigan,forest
38.48574,-87.261107,4.935362965,1.1,958,38.66666667,Indiana,agricultural
40.255889,-74.724587,465.3617716,2,393,24.55,New Jersey,other
43.8085,-85.157845,5.79706743,3.7,542,11,Michigan,forest
43.339736,-86.391445,66.71269119,3.3,585,18,Michigan,forest
47.51486,-92.330892,4.497549995,1.025,953.3333333,30.25,Minnesota,forest
44.363508,-68.250274,2.914315186,11.35217391,153.1,3.580952381,Maine,forest
46.022246,-87.91472,48.46707076,2.4,584,23,Michigan,forest
41.331719,-85.386148,32.41549534,2.55,1402.25,51,Indiana,agricultural
42.217248,-83.586602,43.00787573,2.315,1104.5,63,Michigan,other
42.264641,-84.312571,3.218168709,2.4,763,14,Michigan,other
43.177114,-85.665547,6.468275493,3.5,692,14,Michigan,other
43.053693,-89.419354,8.792336638,0.6032,1049.212766,77.59198113,Wisconsin,other
40.155277,-74.062796,189.8051097,0.6,888,80,New Jersey,other
42.669354,-83.565053,4.397974002,6.072123077,455,8,Michigan,other
44.71493,-85.849623,3.043696497,4.942186667,467,3,Michigan,forest
45.190711,-84.76389,8.726237248,6.1,331,10,Michigan,forest
42.42935,-83.753387,0.879161483,3.4,624,9,Michigan,other
41.430189,-85.721494,3.831141068,3.05,912.5,17.5,Indiana,other
44.339075,-83.6607,0.973772809,1.7,881,18,Michigan,forest
47.742173,-94.045549,39.49300462,2.061666667,884,37,Minnesota,other
42.207331,-86.269125,7.77726789,2.4,565,19,Michigan,other
39.134521,-87.339607,0.775109904,1.366666667,514,31,Indiana,agricultural
42.434902,-86.039127,2.498877606,2.3036,718,20,Michigan,other
41.575401,-85.249732,5.63006177,3.62,856.2,14.6,Indiana,agricultural
41.969513,-85.327906,153.7243451,0.9,930,32,Michigan,agricultural
43.948219,-94.948257,26.7915472,0.75,3760,122.2222222,Minnesota,agricultural
45.31278,-83.465676,2.065898492,4.1,335,7,Michigan,other
45.074398,-93.413319,6.219431227,1.819384615,1062.207547,54.5,Minnesota,other
41.312464,-85.662602,65.48044344,1.333333333,1013.333333,54,Indiana,agricultural
41.030267,-74.303202,38.13486746,1.1,2792,24,New Jersey,forest
46.084226,-88.762782,3.801846148,6.775,144.5,5,Michigan,forest
42.211412,-83.494223,7.902893802,1.14,722,57.33333333,Michigan,other
41.936965,-85.035661,84.6755664,1.8,1410,28.3,Michigan,agricultural
41.357936,-85.63211,68.24316121,1.94,2899.75,57,Indiana,agricultural
41.354979,-85.666424,24.45433769,2.3875,890,29,Indiana,forest
41.022827,-74.623781,51.74764591,0.6,790,90,New Jersey,forest
45.906082,-95.111607,5.104969523,2.337464407,1232.2,70.8,Minnesota,agricultural
44.933246,-84.190186,23.00820364,4.55,276.4285496,6.130159754,Michigan,forest
47.823279,-90.424314,5.306715605,3.065714286,660,20,Minnesota,forest
41.533629,-87.041994,4.761711818,3.2,824.5,24,Indiana,other
47.027776,-94.824643,3.350257397,5.205,510,12,Minnesota,forest
44.59734,-92.026521,10.40933472,0.33125,2143.5,253.1111111,Wisconsin,agricultural
42.80659,-83.665883,10.78717402,3,630,4,Michigan,forest
41.564403,-85.384276,118.5777905,3.6,2685.333333,26.33333333,Indiana,agricultural
39.081984,-87.360208,4.849584066,4.1,343,16,Indiana,agricultural
41.849697,-84.968556,133.8268833,1.1,1086,38,Michigan,agricultural
40.990205,-81.530659,11.96804132,1.034,590.8,54.1,Ohio,other
42.686932,-85.283605,8.739666697,2.7,2155,9,Michigan,other
44.188742,-93.801028,1.701502825,0.917741935,1620,81.63636364,Minnesota,agricultural
41.262807,-85.479351,5.182969909,5.65,344,34.5,Indiana,other
46.008637,-89.699786,3.730383267,4.8768,214.1728395,5.205128205,Wisconsin,forest
42.583029,-83.847199,7.792733502,4.509511111,652,15,Michigan,other
47.559417,-93.03273,4.152277285,3,750,46,Minnesota,forest
47.441356,-87.980826,3.42585698,4,305,10,Michigan,forest
40.026355,-85.312714,20.64340163,3.4,837.75,15.5,Indiana,agricultural
43.104424,-83.226644,3.835202475,2.7,732,15,Michigan,other
45.419164,-96.619273,29.95431417,1.68,1860,361,Minnesota,agricultural
48.042459,-90.411781,7.611713631,2.9,419.5,12,Minnesota,forest
46.203996,-88.018647,7.799746465,3,127,9,Michigan,forest
45.118556,-92.797653,15.75088873,5.683456522,600,8.5,Minnesota,agricultural
46.222992,-92.972274,3.118470843,2.8,671.6666667,27.5,Minnesota,forest
40.973753,-85.845378,34.95071049,0.766666667,1674,52.33333333,Indiana,agricultural
39.968584,-83.729981,26.39328836,0.808571429,1197.345321,56.9,Ohio,agricultural
46.86182,-94.857577,12.82738591,2.07825,1450,45,Minnesota,forest
48.336248,-92.48865,1.483904937,6.01,346.6666667,8,Minnesota,forest
46.263776,-89.089554,7.02509448,4.7,385,8,Michigan,forest
39.765141,-85.538093,208.8062773,0.65,4599.5,89.5,Indiana,agricultural
42.179748,-85.118688,6.132015839,4.6,573,8,Michigan,agricultural
43.457584,-85.810867,6.217883295,3.723107692,492.6590027,14.60304423,Michigan,forest
41.020175,-83.571008,0.035935564,2.07,1131.038462,34.1,Ohio,other
40.766595,-86.532926,14.83651841,2.84,1127.5,29.5,Indiana,agricultural
41.555646,-85.833829,1636.34561,0.966666667,1832,83,Indiana,agricultural
41.426302,-85.540123,29.6157327,1.36,6052.25,21.25,Indiana,agricultural
46.198225,-89.664059,10.06212422,0.9,820,29,Wisconsin,other
42.811928,-83.675528,6.541809138,4.3,561,15,Michigan,other
44.383,-96.044575,12.86826428,0.48125,1890,114,Minnesota,agricultural
41.805302,-85.546375,5.303247324,3.5752875,790,9,Michigan,agricultural
45.135544,-92.808681,5.012797759,3.881571429,455,26.5,Minnesota,agricultural
42.88705,-83.390517,8.729717414,3.66,752,18,Michigan,other
45.851537,-95.248343,15.95514297,1.560155556,1406,72.8,Minnesota,agricultural
45.870977,-89.936586,1.659026344,4.7498,413,10.5,Wisconsin,other
45.435974,-94.500881,2.149084678,0.5564,1628.333333,331.5,Minnesota,other
39.112516,-87.383954,5.740579232,0.56,1427.5,81.5,Indiana,other
45.675055,-89.445088,14.90955578,1.461980952,864.3333333,59.38095238,Wisconsin,forest
44.226129,-85.353851,63.39932427,0.8,1095,27,Michigan,agricultural
46.249148,-95.667133,1.448391238,4.01325,642.5,15,Minnesota,agricultural
45.414116,-93.086238,39.01537716,0.202307692,3721.666667,222.1666667,Minnesota,other
44.473232,-83.362999,118.1145371,2.019104,990,50.4,Michigan,forest
45.866897,-95.804257,4.154533078,1.93875,1660,14.5,Minnesota,agricultural
46.216787,-89.076448,1.606013974,5.6,385,3,Michigan,forest
46.01991,-89.54379,40.43508271,1.2,620,20,Wisconsin,forest
39.920914,-82.476027,9.399941629,0.404,2092.333333,261.8,Ohio,agricultural
